plant_disease_name,causes,recommendations,predicted_score,uploaded_image_path,uploaded_time,detected_time
Melon Necrotic Spot Virus,Fungal Infection,Adjust watering schedule,0.54,/user/user/document/image_542.jpg,2023-02-24 18:11:21,2024-05-14 00:55:27
Onion Downy Mildew,Nutrient Deficiency,Use fungicide,0.97,/user/user/document/image_356.jpg,2024-02-02 19:17:35,2022-10-11 01:28:10
Bean Common Mosaic Virus,Bacterial Infection,Improve soil drainage,0.94,/user/user/document/image_101.jpg,2023-02-14 00:48:02,2022-03-02 03:12:40
Root Knot Nematode,Nutrient Deficiency,Provide adequate nutrition,0.9,/user/user/document/image_5.jpg,2024-03-08 05:12:44,2023-12-17 21:17:07
Canker,Fungal Infection,Control pests,0.7,/user/user/document/image_299.jpg,2023-02-23 04:10:57,2022-12-19 01:19:19
Clubroot,Nutrient Deficiency,Use resistant varieties,0.77,/user/user/document/image_599.jpg,2022-01-19 08:25:15,2023-04-28 06:07:59
Brown Patch,Poor Drainage,Use resistant varieties,0.98,/user/user/document/image_196.jpg,2022-10-29 12:16:37,2022-03-07 10:04:35
Crown Gall,Environmental Stress,Remove infected leaves,0.81,/user/user/document/image_249.jpg,2024-04-18 15:49:02,2024-05-13 05:00:45
Hydrangea Rust,Chemical Damage,Control pests,0.51,/user/user/document/image_225.jpg,2023-07-07 02:38:46,2022-09-19 05:36:42
Black Heart,Viral Infection,Remove infected leaves,0.64,/user/user/document/image_808.jpg,2022-03-22 00:19:53,2023-05-29 09:05:20
Ascochyta Blight,Pests,Provide adequate nutrition,0.81,/user/user/document/image_726.jpg,2022-04-20 03:27:08,2023-04-08 13:54:30
Pythium Root Rot,Pests,Improve soil drainage,0.84,/user/user/document/image_301.jpg,2023-10-28 00:14:35,2022-06-13 09:30:41
Halo Blight,Environmental Stress,Improve soil drainage,0.61,/user/user/document/image_124.jpg,2023-10-06 13:07:42,2022-09-16 22:35:40
Mosaic Virus,Viral Infection,Use fungicide,0.67,/user/user/document/image_614.jpg,2023-01-11 02:19:19,2024-03-19 13:51:05
Sooty Mold,Fungal Infection,Apply bactericide,0.97,/user/user/document/image_545.jpg,2022-03-16 16:37:24,2022-03-26 18:14:46
Leaf Rust,Chemical Damage,Remove infected leaves,0.63,/user/user/document/image_157.jpg,2022-06-09 07:07:14,2022-01-06 10:18:20
Leaf Rust,Fungal Infection,Provide adequate nutrition,0.7,/user/user/document/image_236.jpg,2022-07-20 16:12:56,2022-11-23 22:17:21
Spinach Downy Mildew,Environmental Stress,Improve soil drainage,0.76,/user/user/document/image_666.jpg,2023-01-21 23:25:59,2022-12-26 03:54:08
Dutch Elm Disease,Nutrient Deficiency,Apply neem oil,0.75,/user/user/document/image_624.jpg,2022-04-19 01:23:50,2023-09-30 00:33:19
Septoria Leaf Spot,Poor Drainage,Provide adequate nutrition,0.73,/user/user/document/image_902.jpg,2023-10-03 07:18:23,2023-04-22 11:48:36
Leaf Scorch,Poor Drainage,Use resistant varieties,0.52,/user/user/document/image_764.jpg,2023-06-08 02:02:01,2022-02-14 19:44:53
Needle Blight,Viral Infection,Apply bactericide,0.52,/user/user/document/image_582.jpg,2022-05-29 14:12:42,2022-07-26 20:16:24
